"Id","Name","Description","AlertingPolicy","Priority","FullProtectionSlaTimeMins","IsActive","PolicyName","PolicyDaysToKeep","PolicyDescription","LastBackupRunStatus","LastBackupRunName","LastBackupStartTime","LastBackupEndTime","LastBackupElapsedTime","LastBackupTotalSourceSizeGB","LastBackupTotalLogicalBackupSizeGB","LastCopyRunStatus","LastCopyRunName","LastCopyStartTime","LastCopyEndTime","LastCopyElapsedTime","LastCopyLogicalGBTransferred","LastCopyTotalLogicalSizeGB","TotalLogicalBackupSizeGB","SummaryAverageRuntime","SummaryFastestRunTime","SummarySlowestRunTime","SummaryNumSuccessfulRuns","SummaryTotalLogicalBackupSizeGB"
"18","fs005_ECM-media",,"KFailure","KMedium","420",,"Bronze","45","This is the Bronze Policy","KSuccess","\\fs005.sigi.us.selective.com\ECM_media","3/12/2020 6:01:01 PM","3/13/2020 12:34:22 AM","06:33:21","0","593.44","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"593.44","06:33:20","06:33:20","06:33:20","1","593.44"
"62","vm_test_2am",,"KFailure","KMedium","720",,"bronze_test","15",,"KSuccess","DBSH-DB10T","3/13/2020 2:00:00 AM","3/13/2020 3:06:10 AM","01:06:10","66069.36","49603.56","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"49603.56","01:06:10","01:06:10","01:06:10","1","49603.56"
"64","vm_test_purefa4_tn_08",,"KFailure","KMedium","420",,"bronze_test","15",,"KSuccess","ADPG-AP02T","3/13/2020 2:00:00 AM","3/13/2020 2:18:11 AM","00:18:11","26170","17625","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"17625","00:18:10","00:18:10","00:18:10","1","17625"
"71","vm_test_purefa4_tn_06",,"KFailure","KMedium","420",,"bronze_test","15",,"KSuccess","CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13","1","16027.5"
"85","NASFS005images","fs005images","KFailure","KMedium","2880","False",,,,,"CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13",,"16027.5"
"88","NASFS10-07 Daily","NASFS10-07 Daily","KFailure","KMedium","2880","False",,,,,"CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13",,"16027.5"
"89","SQLBKUPDB375T",,"KFailure","KMedium","120","False",,,,,"CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13",,"16027.5"
"91","NASBackupDailyFS010_02",,"KFailure","KMedium","120","False",,,,,"CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13",,"16027.5"
"92","NAS Share SQL PROD 2",,"KFailure","KMedium","120","False",,,,,"CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13",,"16027.5"
"93","NAS_SQL_PROD9",,"KFailure","KMedium","120","False",,,,,"CORP-AP09T","3/13/2020 2:30:00 AM","3/13/2020 2:45:13 AM","00:15:13","16027.5","16027.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"16027.5","00:15:13","00:15:13","00:15:13",,"16027.5"
